DEPARTAMENTO;MUNICIPIO;LATITUD;LONGITUD;COD_CENTRO;CENTRO DE VACUNACIÓN;DIRECCIÓN;ENLACE WAZE;ENLACE GOOGLE MAPS;MODALIDAD;REQUISITOS;ENLACE REGISTRO;TIPO DE VACUNA Y DOSIS - GRUPO POBLACIONAL Y ACCESO;DÍAS DE ATENCIÓN;HORARIO;AFL_16102021;CV_16102021:;EP_16102021:;VR_16102021:;DA_16102021:;AFL_17102021;CV_17102021:;EP_17102021:;VR_17102021:;DA_17102021:;AFL_18102021;CV_18102021:;EP_18102021:;VR_18102021:;DA_18102021:;TDA
Guatemala;Guatemala;14.61114888;-90.5455791;11;Centro Universitario Metropolitano -CUM-;Centro Universitario Metropolitano CUM - Universidad de San Carlos de Guatemala, 9A Av. 9-45, Cdad. de Guatemala;https://waze.com/ul?q=Centro%20Universitario%20Metropolitano%20CUM%20-%20Universidad%20de%20San%20Carlos%20de%20Guatemala%209%20Avenida%209-45%20Zona%2011%20GT&navigate=yes;https://maps.google.com/maps/dir//Centro+Universitario+Metropolitano+CUM+-+Universidad+de+San+Carlos+de+Guatemala+9A+Av.+9-45+Cdad.+de+Guatemala/@14.6111492,-90.5455778,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a10aa1251383:0x486fa32d713deb86;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\11.svg;Lunes - Viernes;8:00 - 14:00;39.93846154;1300;709;1281;19;34.23133333;1500;940;1489;11;33.22375;3200;2202;3179;21;9934
Guatemala;Guatemala;14.6239732;-90.50308734;12;Colonia La Labor;26 Avenida & 24 Calle, Cdad. de Guatemala;https://waze.com/ul?q=24%20Calle%20%26%2026%20Avenida%20Zona%205%20GT&navigate=yes;https://maps.google.com/maps/dir//24+Calle+%26+26+Avenida+Cdad.+de+Guatemala/@14.623974,-90.5030864,18z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a24619e36025:0x882138a64b718b9d;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\12.svg;Lunes - Viernes;8:00 - 14:00;27.32631579;1900;1389;1884;16;46.67909091;1100;647;1076;24;35.43866667;3000;1914;2983;17;9934
Guatemala;Guatemala;14.6577337;-90.49395512;13;Escuela de Formación Policía Nacional Civil;Academia de la PNC, Guatemala, Cdad. de Guatemala;https://waze.com/ul?q=Academia%20de%20la%20PNC%2021%20Avenida%20Barrio%20San%20Antonio%20Zona%206%20GT&navigate=yes;https://maps.google.com/maps/dir//Academia+de+la+PNC,+Guatemala+Cdad.+de+Guatemala/@14.6577349,-90.4939553,17z/data=!4m5!4m4!1m0!1m2!1m1!1s0x858998820ab616b1:0xfdb99e90551202c7;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\13.svg;Lunes - Domingo;8:00 - 16:00;27.32631579;1900;1439;1876;24;30.20411765;1700;1284;1683;17;33.22375;3200;2146;3170;30;9934
Guatemala;Guatemala;14.61527581;-90.4832325;14;Explanada Cardales de Cayalá;Explanada Cardales de Cayala, JG88+4P6, Cdad. de Guatemala;https://waze.com/ul?q=Explanada%20Cayala%2C%20Zona%2016%20GT&navigate=yes;https://maps.google.com/maps/dir//Explanada+Cardales+de+Cayala+JG88%2B4P6+Cdad.+de+Guatemala/@14.6152773,-90.483233,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a3005a7204c9:0x46e9c389a8f81b4c;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\14.svg;Lunes - Viernes;8:00 - 13:30;47.2;1100;644;1084;16;46.67909091;1100;661;1074;26;48.32545455;2200;1149;2174;26;9934
Guatemala;Guatemala;14.57965987;-90.49517314;15;Galerías la Pradera;Galerias La Pradera, Blvd. los Proceres 25-85, Cdad. de Guatemala;https://waze.com/ul?q=Centro%20Comercial%20La%20Pradera%20Zona%2010%20Blvd%20los%20Proceres%2025-85%20Zona%2010%20GT&navigate=yes;https://maps.google.com/maps/dir//Galerias+La+Pradera+Blvd.+los+Proceres+25-85+Cdad.+de+Guatemala/@14.5796604,-90.4951722,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a39bada6ad3d:0x2b90f785d3d041a6;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\15.svg;Lunes - Domingo;9:00 - 14:30;34.61333333;1500;971;1489;11;27.02473684;1900;1405;1874;26;59.06444444;1800;836;1773;27;9934
Guatemala;Guatemala;14.61289255;-90.51132616;16;Guardia de Honor;Brigada de Policia Militar Guardia de Honor, Avenida De La Barranquilla 1-50, Cdad. de Guatemala 01010;https://waze.com/ul?q=Brigada%20de%20Policia%20Militar%20Guardia%20de%20Honor%20Avenida%20de%20La%20Barranquilla%201-50%20Zona%2010%20GT&navigate=yes;https://maps.google.com/maps/dir//Brigada+de+Policia+Militar+Guardia+de+Honor+Avenida+De+La+Barranquilla+1-50+Cdad.+de+Guatemala+01010/@14.6128932,-90.5113256,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a234a18468f7:0xef99da63bd3eca56;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\16.svg;Lunes - Domingo;7:00 - 23:59;47.2;1100;649;1085;15;39.49769231;1300;838;1276;24;44.29833333;2400;1426;2381;19;9934
Guatemala;Guatemala;14.6213053;-90.50914024;17;Iglesia Ebenezer en la zona 5;Iglesia de Cristo Ebenezer Guatemala, 13 Avenida 28 calle, Cdad. de Guatemala 01005;https://waze.com/ul?q=%20Iglesia%20Ebenezer%20en%20la%20zona%205%20%2014%20Av.%2027-68%2C%20zona%205%2C%20Colonia%20San%20Pedrito%20GT&navigate=yes;https://maps.google.com/maps/dir//Iglesia+de+Cristo+Ebenezer+Guatemala+13+Avenida+28+calle+Cdad.+de+Guatemala+01005/@14.6213053,-90.5091389,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a237a44d8b17:0x4295d0c678bebbe;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\17.svg;Lunes - Viernes;8:00 - 14:00;39.93846154;1300;781;1285;15;39.49769231;1300;700;1285;15;29.53222222;3600;2637;3582;18;9934
Guatemala;Guatemala;14.63602424;-90.48137584;18;Mariscal Zavala;Centro de Vacunación Mariscal Zavala, Mariscal Zabala 1134, Cdad. de Guatemala;https://waze.com/ul?q=Centro%20de%20Vacunaci%C3%B3n%20Mariscal%20Zavala%20Km%205.5%20Carretera%20Atl%C3%A1ntico%2C%20Zona%2017%20GT&navigate=yes;https://maps.google.com/maps/dir//Centro+de+Vacunaci%C3%B3n+Mariscal+Zavala+Mariscal+Zabala+1134+Cdad.+de+Guatemala/@14.6360249,-90.4813761,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a3f5f15d7199:0x6ef187f4e7d1279c;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\18.svg;Lunes - Domingo;7:00 - 23:59;27.32631579;1900;1367;1884;16;34.23133333;1500;1006;1486;14;59.06444444;1800;892;1780;20;9934
Guatemala;Guatemala;14.63698169;-90.54398156;19;Parque Erick Barrondo;Parque Erick Barrondo, 28 Avenida, Cdad. de Guatemala;https://waze.com/ul?q=Parque%20Erick%20Barrondo%2028%20Ave%2014-02%2C%20Ciudad%20de%20Plata%20II%2C%20Zona%207%20GT&navigate=yes;https://maps.google.com/maps/dir//Parque+Erick+Barrondo+28+Avenida+Cdad.+de+Guatemala/@14.636981,-90.543981,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a1ea902fadeb:0xfba3a5322d7a319a;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\19.svg;Lunes - Viernes;8:00 - 14:00;47.2;1100;686;1084;16;46.67909091;1100;601;1075;25;27.97789474;3800;2897;3775;25;9934
Guatemala;Guatemala;14.64182634;-90.51308559;20;Plaza de la Constitución;Plaza de la Constitucion, JFRP+PQM, Cdad. de Guatemala;https://waze.com/ul?q=Plaza%20de%20la%20Constituci%C3%B3n%206%20Avenida%20y%206%20Calle%20Zona%201%20GT&navigate=yes;https://maps.google.com/maps/dir//Plaza+de+la+Constitucion+JFRP%2BPQM+Cdad.+de+Guatemala/@14.6418275,-90.5130847,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a21123662129:0x937f9d4a5f3d6a75;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\20.svg;Lunes - Domingo;8:00 - 15:00;27.32631579;1900;1383;1882;18;34.23133333;1500;962;1485;15;44.29833333;2400;1351;2378;22;9934
Guatemala;Guatemala;14.6341624;-90.50613577;21;Polideportivo Gerona;Centro Deportivo Gerona, 13 Avenida, Cdad. de Guatemala;https://waze.com/ul?q=Centro%20Deportivo%20Gerona%2015%20Avenida%2014%20Calle%2C%20Zona%201%20GT&navigate=yes;https://maps.google.com/maps/dir//Centro+Deportivo+Gerona+13+Avenida+Cdad.+de+Guatemala/@14.634165,-90.5061351,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a2401086dc17:0x1554150497d36f86;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\21.svg;Lunes - Viernes;8:00 - 14:00;30.54117647;1700;1190;1685;15;39.49769231;1300;704;1281;19;31.26941176;3400;2434;3383;17;9934
Guatemala;Guatemala;14.65999;-90.51051547;22;Salón Comunal Manuel Colóm Argueta;Salón comunal Manuel Colom Argueta, Hipódromo del Norte, Auxiliar Simeón Cañas 10-85, Cdad. de Guatemala;https://waze.com/ul?q=Sal%C3%B3n%20Comunal%20Manuel%20Colom%20Argueta%20Hip%C3%B3dromo%20del%20Norte%2C%20Auxiliar%20Sime%C3%B3n%20Ca%C3%B1as%2010-85%2C%20Zona%202%20GT&navigate=yes;https://maps.google.com/maps/dir//Sal%C3%B3n+comunal+Manuel+Colom+Argueta+Hip%C3%B3dromo+del+Norte+Auxiliar+Sime%C3%B3n+Ca%C3%B1as+10-85+Cdad.+de+Guatemala/@14.6599887,-90.5105148,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x85899945553a4db9:0xbee1eced68c966fd;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\22.svg;Lunes - Domingo;8:00 - 14:00;30.54117647;1700;1198;1692;8;30.20411765;1700;1271;1685;15;27.97789474;3800;2743;3780;20;9934
Guatemala;Guatemala;14.65226361;-90.47545877;23;Salón Municipal Lavarreda, zona 18;Parque Lavarreda, 13 y 14 Avenida y 7 calle. Colonia Lavarreda, zona 18, Cdad. de Guatemala;https://waze.com/ul?q=Parque%20Lavarreda%2013%20Avenida%20Colonia%20Lavarreda%20Zona%2018%20GT&navigate=yes;https://maps.google.com/maps/dir//Parque+Lavarreda+13+y+14+Avenida+y+7+calle.+Colonia+Lavarreda,+zona+18+Cdad.+de+Guatemala/@14.6522648,-90.4754578,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a29b88fe7665:0xb3037946bc77db47;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\23.svg;Lunes - Viernes;8:00 - 14:00;39.93846154;1300;736;1287;13;39.49769231;1300;741;1277;23;33.22375;3200;2124;3183;17;9934
Guatemala;Guatemala;14.5873005;-90.55336197;24;Universidad de San Carlos de Guatemala;Universidad de San Carlos de Guatemala, 11 Avenida, Cdad. de Guatemala 01012;https://waze.com/ul?q=Universidad%20de%20San%20Carlos%20de%20Guatemala%2011%20Avenida%20final%2C%20zona%2012%20GT&navigate=yes;https://maps.google.com/maps/dir//Universidad+de+San+Carlos+de+Guatemala+11+Avenida+Cdad.+de+Guatemala+01012/@14.5873005,-90.5533613,17z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a13c91d3040d:0xc41e0810dd744602;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\24.svg;Lunes - Sabado;7:30 - 13:30;39.93846154;1300;818;1281;19;34.23133333;1500;1047;1477;23;33.22375;3200;2164;3179;21;9934
Guatemala;Mixco;14.65055815;-90.54179466;25;Centro Comercial Naranjo Mall;Naranjo Mall, Cdad. de Guatemala;https://waze.com/ul?q=Naranjo%20Mall%20Condado%20Naranjo%20Zona%204%20Mixco%20GT&navigate=yes;https://www.google.com/maps/dir//Naranjo+Mall+Cdad.+de+Guatemala/@14.6505602,-90.5417934,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8589a1e7201e98c1:0x777ac7243d148cf4;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\2.svg;Lunes - Domingo;9:00 - 16:00;39.93846154;1300;782;1279;21;27.02473684;1900;1467;1879;21;31.26941176;3400;2471;3378;22;9934
Guatemala;Villa Nueva;14.56439463;-90.56380142;26;Centra Sur;Parqueo CENMA Villa Lobos, Zona 12, Guatemala ;https://waze.com/ul?q=Parqueo%20CENMA%20Villa%20Lobos%2C%20Zona%2012%20GT&navigate=yes;https://www.google.com/maps/dir//Centra+Sur+Villa+Nueva/@14.5644777,-90.5637585,16z/data=!4m8!4m7!1m0!1m5!1m1!1s0x8589a72aaea8afa5:0xbe3a30cc4da29e03!2m2!1d-90.5637585!2d14.5644777;A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\6.svg;Lunes - Sabado;8:00 - 14:00;34.61333333;1500;1009;1484;16;34.23133333;1500;996;1474;26;25.31333333;4200;3118;4182;18;9934
Guatemala;Villa Nueva;14.52146054;-90.56431984;27;Centro Comercial El Frutal ;Boulevard El Frutal 14-00 zona 5, C. Real, Villa Nueva;https://waze.com/ul?q=Complejo%20Comercial%20El%20Frutal%20Boulevard%20El%20Frutal%2014-00%20zona%205%2C%20C.%20Real%20Villa%20Nueva%20GT&navigate=yes;https://www.google.com/maps/dir//Complejo+Comercial+El+Frutal+Boulevard+El+Frutal+14-00+zona+5+C.+Real+Villa+Nueva/@14.5214939,-90.5640345,19.12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x8589a70036a4038d:0xe6dfb293fb358f71!2m2!1d-90.5643144!2d14.5214518;Registro previo / A demanda;DPI + Registro;https://registrovacunacovid.mspas.gob.gt/mspas/login;C:\Users\anton\Documents\UVG\Semestre VI\SIG & Geodesia\PROYECTO_FINAL\ETAPA DE PRUEBA\SVG\FINAL\25.svg;Lunes - Sabado;8:00 - 14:00;30.54117647;1700;1109;1679;21;30.20411765;1700;1239;1682;18;40.89076923;2600;1664;2576;24;9934
